Accession,Symbol,BT549,HS578T,MCF7,MCF7ADR,MDAMB231,MDAMB435,T47D,SF268,SF295,SF539,SNB19,SNB75,U251,COLO205,HCC2998,HCT116,HCT15,HT29,KM12,SW620,CCRFCEM,HL60,K562,MOLT4,RPMI8226,SR,LOXIMVI,M14,MALME3M,SKMEL2,SKMEL28,SKMEL5,UACC257,UACC62,A549,EKVX,H226,H23,H322M,H460,H522,HOP62,HOP92,IGROV1,OVCAR3,OVCAR4,OVCAR5,OVCAR8,SKOV3,DU145,PC3,7860,A498,ACHN,CAKI1,RXF393,SN12C,TK10,UO31
IPI00000001,STAU1,37020,0,0,94574,0,0,90654,515620,0,0,0,0,0,0,78277,0,0,311720,0,0,0,0,0,0,0,0,23013,146840,49706,0,0,0,0,139440,0,0,0,0,28642,0,98123,6112.1,69812,0,18328,150080,0,90480,0,0,0,0,98793,117820,0,0,0,92526,104580
IPI00000005,NRAS (includes EG:18176),8905400,2194400,15617000,6461400,6372100,1109200,2477200,24276000,2124100,3957600,7794900,1335400,6254800,498530,1300000,1319100,768070,4390700,2111800,7134700,2804000,2296200,1242100,1541800,1864100,3018000,2170800,7123100,1080700,920710,542480,610510,963060,7699100,2992100,1167900,3956100,1266400,1898300,5203500,4904500,2246400,7553300,206970,849820,18472000,5904700,16240000,5161000,4376800,3812900,0,6849700,4337700,1336400,5323300,869270,3559900,4260000
IPI00000006,HRAS,0,138430,0,0,0,0,0,573910,0,0,0,0,180420,0,0,0,0,397430,44804,0,0,0,0,0,0,0,0,0,0,124380,0,0,0,0,290610,42158,375280,0,0,0,0,0,0,0,0,0,0,0,0,0,322020,0,0,0,0,0,108070,0,0
IPI00000013,CTSL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44485,0,0,243090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00000030,PPP2R5D,199560,42323,869830,2228200,5604200,696740,828060,2355600,287320,516940,1230400,791510,910980,169660,109930,638100,182090,665250,315360,794540,706600,0,398190,936250,392180,260940,259970,0,109990,105940,92698,642570,1086300,360090,255070,81126,228060,568550,84670,303920,1429600,117780,70914,253430,0,781850,122940,995890,571670,3653800,1285100,507960,201750,56766,327700,2456600,918870,289600,78019
IPI00000041,RHOB,0,0,3393000,127780,0,0,299050,0,195050,355010,748390,0,184400,0,0,0,47300,0,112960,0,0,0,0,0,0,0,0,0,67832,82959,0,0,359770,0,733520,28941,0,0,119800,5895900,0,0,0,0,0,6301100,0,542100,0,0,0,0,1032300,411870,33113,0,0,0,0
IPI00000049,TNFSF10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61507,0,0,0,0,0,0,0
IPI00000051,PFDN1,2675300,1628800,9780300,8487400,8817500,4857900,6195300,7971600,5362100,1881200,857890,684400,1672500,6443300,3803500,4041500,136510,5248300,3352300,3952200,1978300,13200000,6447300,0,3150300,4682200,3261500,11816000,651810,136740,0,1679100,1186300,7792800,2601800,568810,6637100,4898400,1369600,5860000,4602500,6008.2,4580500,0,0,18442000,812080,13031000,5055700,5143000,10376000,89938,5733400,1805600,0,1573200,528430,3402700,3585200
IPI00000057,COG2 (includes EG:22796),0,0,440170,75817,11995,0,76422,44758,0,0,0,0,28819,605670,12507,81774,11494,173900,8741.6,6668.6,0,0,0,0,0,0,0,176370,0,0,0,307970,545790,0,37620,9899.8,0,0,2290.9,0,33718,3865.3,0,0,0,0,29933,124860,10366,0,287240,0,0,7090,18245,0,198600,0,0
IPI00000070,LDLR,197420,0,0,412480,355800,0,0,0,361560,425320,33435,0,29221,35037,186530,0,0,49371,8729.1,0,3527.5,0,0,0,0,0,12870,0,21828,39832,18874,0,45916,34790,0,13214,695170,236180,0,0,19146,28910,224570,0,0,1841300,503320,267860,46291,337430,242810,0,111920,21460,11329,42535,300050,93758,49905
IPI00000075,TGFB1,0,0,0,0,0,0,0,0,54962,1917100,0,0,0,0,0,0,0,0,0,0,0,0,84158,0,0,0,0,0,0,0,0,0,0,80217,0,0,186410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83765,0,157200,0,0,0,0
IPI00000104,RNGTT,0,14207,39521,1863800,25269,0,0,258320,43938,0,0,17338,116050,0,26303,178080,0,64206,55057,125440,14608,51932,79378,90982,35977,0,0,0,0,0,27563,214050,0,0,0,0,154860,100850,0,119340,81368,6059.6,0,19886,0,0,0,507490,25907,386200,407550,40282,0,0,0,272650,112520,0,0
IPI00000105,MVP,0,0,0,0,64868,0,0,4259700,30794,1051100,164780,1002800,203630,3844600,425840,42880,28325,293920,0,0,0,0,0,0,0,177530,300060,1815100,0,710490,86386,129050,3489700,441420,0,1711.7,0,0,0,0,0,2715.4,179900,0,0,1684000,18480,123020,1935100,84631,0,95082,952770,1774900,8146,2371800,0,11361,3783200
IPI00000115,CNIH4,0,0,0,20600000,0,0,0,3076500,0,0,0,5218200,9777500,0,6993200,0,0,5822000,0,0,0,0,0,0,0,0,0,19571000,1989300,0,0,8927900,0,0,0,0,7897600,764420,0,0,10254000,0,2568300,0,0,0,0,0,658500,1684900,2267300,0,2666400,0,0,8452100,0,1577700,0
IPI00000138,MGAT1,612910,484790,722440,560370,298780,0,0,0,59777,1829100,399060,379770,96244,136060,34730,0,0,108380,127860,157130,103600,0,71844,0,0,214770,177290,0,39389,0,425300,0,945730,0,135060,56827,2951500,248880,401950,277590,36638,72215,91538,0,0,1073900,913520,337680,271840,361170,56279,364480,721570,0,208630,794000,0,42625,94383
IPI00000155,GLYR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00000162,NGDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9768.6,0,0,0,0,7470.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00000171,TSC22D4,0,0,83752,0,0,0,0,0,0,0,0,0,0,0,60800,0,0,24086,0,0,0,0,587340,114970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334180,0,0,0,0,0,0,0,0
IPI00000173,LRCH4,0,0,0,0,13115,0,0,0,0,0,0,27345,0,0,0,0,61866,0,0,0,0,98095,0,0,0,0,0,0,79400,0,4746.1,0,800480,58390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00000184,SCOC,0,0,364250,1153200,801500,598530,759440,340780,310710,0,0,0,0,147640,0,0,0,531640,150440,0,0,1094800,0,12780,0,425090,435780,503390,227780,0,35828,0,0,1519700,37671,268930,0,0,39889,227900,347470,279360,421480,0,0,1388800,0,359070,1204600,1403700,532460,0,0,81029,0,0,15520,39630,430230
IPI00000230,TPM1 (includes EG:396366),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438110,0,0,0,0
IPI00000279,ZC3H15,96361,158390,906830,356420,954180,212720,123870,1090300,616320,0,1506200,113090,1072100,99907,871440,884780,356600,438610,752910,357360,1474500,530290,1000100,972180,904310,356260,270110,940070,145150,59141,35424,923690,605120,1089500,158120,139010,230480,1070000,260070,1434400,2468200,185040,329620,190190,52123,342650,611900,1012700,121220,555390,535190,752240,272320,32743,36754,789640,608040,393800,266340
IPI00000305,MED11 (includes EG:100148504),253130,26601,301850,300710,0,0,20691,111860,76858,105340,0,0,153160,80836,0,0,9496.5,120640,28934,174340,40778,0,77244,0,195480,0,89123,159290,0,0,0,126910,96610,0,0,0,148740,0,0,108580,51240,13916,0,0,0,200680,30734,138420,0,270470,0,0,93939,53569,54104,127210,0,34477,77979
IPI00000330,C9orf80,656610,4237.3,3283500,1299000,0,0,0,134330,226180,254110,698580,0,247070,174460,0,345510,20215,991000,274680,507760,116630,0,108430,0,138860,1002300,0,0,298040,76148,0,198460,324250,1014800,246600,0,0,0,0,420240,98059,0,831180,10855,0,1157400,40800,644200,0,1684300,3000100,0,507470,178420,61656,302510,206210,0,321650
IPI00000335,HINT2,6142800,745520,10954000,12876000,4274500,1570900,3725400,11422000,1872800,2602100,666640,2855700,422860,4145100,2855400,2015700,98699,3048100,2692000,2189100,2977200,6392400,957600,98391,1180500,7834600,1254700,14294000,5720300,256580,1806700,265240,2522800,19364000,3811000,705850,4269800,4596200,5788000,6597900,3311800,1999500,14664000,0,197850,24252000,819250,4129100,9095900,24509000,10979000,16236,6736200,3939400,0,134990,2516700,4361500,2738300
IPI00000425,ATP6V0A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75491,0,18460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181.4,0,40968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00000494,RPL5,6906100,8103700,3651900,5765400,2359900,1022600,964930,66077000,6970800,7090900,55189000,7499800,1228300,517330,81017,2109500,257060,825550,1307100,4938200,1531300,506430,1174300,0,2828600,1612800,3117700,2907800,703890,2615400,1399600,0,3536000,17258000,2135400,1992700,21358000,1808700,1103100,6071700,2032500,2213100,2790500,1585000,2202400,10732000,10884000,14336000,1517800,7513100,3535800,6231.5,13661000,5242900,6113500,637870,5558900,2024400,1119500
IPI00000606,TTC4,103190,0,0,0,106030,0,0,0,95951,0,800470,0,537750,0,0,631550,49700,0,64850,241200,547420,0,1656600,117990,0,0,0,1717500,0,15058,0,194330,117120,259060,0,16433,0,385720,0,287150,0,0,0,0,8495.2,0,0,288700,0,210370,450670,0,133320,0,0,863740,18263,530330,75336
IPI00000643,BAG2,559810,277860,0,2721100,469090,70897,0,12106000,271930,49685,680330,0,1015600,777170,0,1001300,70878,1072600,532770,2048500,550790,176600,1214200,525590,312900,68572,0,865680,0,221690,30421,1274400,0,0,425100,0,322230,42728,0,1179100,729750,126380,36482,0,41490,1420300,155750,2325900,259530,1535500,2808700,56762,99177,1275600,75879,0,728120,19662,449390
IPI00000655,SLC16A2,693710,0,0,0,0,0,0,0,0,0,2237700,0,114750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00000656,MAU2,0,0,0,96141,3646.2,0,0,0,0,0,0,0,77514,21447,42313,18468,0,0,0,0,43569,0,0,35187,0,9560.2,5359.2,47135,0,0,17747,0,0,0,0,0,47447,0,0,0,17465,3871.9,28068,5817.5,0,0,0,0,103140,31666,0,0,0,11842,0,49043,0,0,0
IPI00000663,MLYCD,0,0,109830,0,98002,0,0,0,37460,0,0,0,0,0,215020,0,38356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955250,0,0,0,0,0,0,0,53367,0,0,0,0,0,0,0,24894,0,0,0,0,7380.7,65085,0,0,0,0
IPI00000684,UAP1,20456000,1562000,47103,26083000,11003000,324440,292910,3347000,697760,195510,1088400,660880,10293000,109950,238560,442020,18206,138530,0,226480,861380,151270,8337600,229110,4238900,163500,2324500,2365300,334180,0,55152,357790,156670,1955400,0,27400,19036000,434020,0,318440,1917300,1060700,925650,72180,0,295520,77180,20195000,79629,24884000,1176700,275500,1297800,887880,2269600,5789500,1068200,1311100,1387300
IPI00000685,CDK7,171470,0,0,0,525030,37712,0,0,319580,393800,216170,0,462640,71002,175410,206370,0,252160,177460,1525200,398990,0,278970,0,587250,0,136500,511850,60450,309780,189400,273540,816520,1143200,179250,0,780330,124120,0,824140,638170,72047,223060,167700,255070,0,0,109700,203890,652570,169120,0,203210,117830,455130,0,221840,36886,71145
IPI00000686,RBM19,0,0,0,0,0,0,0,0,63881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6931.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00000690,AIFM1,16913000,2210200,13660000,16216000,3704100,6011000,2730600,6170300,5526000,4249300,27001000,2322000,17209000,3497600,10588000,2213100,1664300,7487000,7633600,26868000,3300700,19765000,6691000,2307300,10369000,22328000,2589400,12701000,8792100,1192100,4275100,20915000,32883000,21220000,12487000,1056700,9733600,9404000,9765.5,13639000,10089000,851020,9900200,3850100,949370,26080000,279420,4038900,5311200,5562900,8531300,373330,10502000,4180100,11558000,7560200,14337000,4842300,1487900
IPI00000691,CLDN1,333350,0,0,1530400,0,0,1753000,0,0,0,0,0,92022,0,44297,0,0,355640,152630,0,0,0,0,0,0,0,0,0,0,528860,0,0,0,0,0,233340,0,340090,57112,448570,0,1007700,0,0,57861,1078300,3962000,0,1682700,1720300,150330,0,0,1755700,340220,287500,0,3024300,2336800
IPI00000692,CLIC3,0,0,0,283850,503260,0,11877000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270100,0,0,4661800,0,0,0,14791,0,0,1153500,698920,46974,1097400,0,0,0,0,0,0,0,0,0,0
IPI00000695,GNA14,0,0,0,0,0,0,0,0,0,0,0,71789,0,0,0,0,0,64944,0,0,0,0,0,5789.8,0,0,0,0,0,32245,0,0,0,0,90507,0,286980,0,0,0,36705,0,0,0,0,281560,0,0,0,28002,0,0,0,0,0,0,0,0,0
IPI00000728,USP15,59952,12579,207560,209570,79285,0,181260,174840,113050,34503,33646,35773,282560,74466,507920,84757,21521,66266,69873,54791,222510,15398,2052900,429410,171730,38784,79886,229070,60839,28230,1363.1,391130,248810,753970,0,35311,537610,328580,0,767900,31326,12027,49372,33936,26643,210370,37266,21002,38530,115350,1134700,19078,41862,112930,89341,462770,1023100,20705,324120
IPI00000735,TSPAN13,0,0,0,0,0,0,4127300,0,2425400,0,0,0,0,311220,0,0,0,528240,39098,0,0,0,0,0,0,0,0,0,0,0,0,449450,0,2902600,927110,92947,0,0,1244700,0,501440,0,0,0,0,1124900,1314200,0,230820,0,601420,73656,2369300,0,718810,0,571200,0,0
IPI00000736,TSPAN15,0,0,0,0,0,0,0,0,0,0,1123700,0,0,56734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760450,73574,0,0,301930,0,0,0,0,0,0,0,0,0,403640,0,0,0,0,0,0,0,0,0,0
IPI00000760,DDAH2,2820400,738260,1863200,2552200,2183100,0,3670000,3342100,0,890250,0,115020,0,0,1303300,381580,98920,1439800,2458700,4524900,879860,0,512660,0,0,0,0,0,1466000,363140,0,0,399200,0,1125700,363550,350040,229090,82858,0,5147500,0,0,44713,338740,881270,0,6801600,1063400,313670,83654,32864,1724600,33192,1049700,0,444980,466770,1737900
