"SMILES","HMDB.ID","lab.id","b'Metabolite.name'","M","m/z","CCS","adducts","formal.charge","physiological.charge","predicted.logp.ALOGPS","predicted.logp.ChemAxon","logs","pka.strongest.acidic","pka.strongest.basic","acceptor.count","donor.count","polar.surface.area","rotatable.bond.count","refractivity","polarizability"
"CN1C=NC(C[C@H](N)C(O)=O)=C1","HMDB00001","S0297","b'1-Methylhistidine'","169.0851","168.0773","139.6386495","[M-H]","0","0","-2.95","-3.1","-1.39","1.96","9.25","4","2","81.14","3","42.39","17.11"
"OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","HMDB00012","S0029","b""2'-Deoxyuridine""","228.0746","227.0668","145.9135045","[M-H]","0","0","-1.49","-1.5","-0.4","9.71","-3","5","3","99.1","2","51.05","21.06"
"NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","HMDB00014","S0139","b'Deoxycytidine'","227.0906","226.0828","146.8416366","[M-H]","0","0","-1.93","-1.9","-1.16","13.89","-0.0012","6","3","108.38","2","53.03","21.65"
"[H]C12CC[C@](O)(C(=O)CO)[C@@]1(C)CCC1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","HMDB00015","S0333","b'11-Deoxycortisol'","346.2144","345.2066","183.1225374","[M-H]","0","0","2.79","2.58","-4.14","12.59","-3.3","4","2","74.6","2","95.81","38.78"
"[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","HMDB00016","L0369","b'11-Deoxycorticosterone'","330.2195","329.2117","184.4178497","[M-H]","0","0","3.1","3.33","-4.3","13.86","-3.3","3","1","54.37","2","94.41","38.19"
"OC(=O)CC1=CC=C(O)C=C1","HMDB00020","S0133","b'p-Hydroxyphenylacetic acid'","152.0473","151.0395","126.6487962","[M-H]","0","-1","0.93","1.31","-1.33","4","-6","3","2","57.53","2","39.35","14.83"
"N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O","HMDB00021","L0088","b'3-Iodo-L-tyrosine (MIT)'","306.9705","327.9447","148.0259999","[M+Na-2H]","0","0","-1.51","-0.56","-2.52","0.99","9.5","4","3","83.55","3","60.46","23.54"
"[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","HMDB00030","L0014","b'D-Biotin'","244.0882","243.0804","152.9595208","[M-H]","0","-1","0.17","0.32","-2.3","4.4","-1.9","3","3","78.43","5","60.05","24.92"
"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(O)CC[C@]12C","HMDB00031","S0358","b'3alpha-Hydroxy-5alpha-androstan-17-one (Androsterone)'","290.2246","289.2168","176.7119955","[M-H]","0","0","3.71","3.77","-4.66","18.3","-1.4","2","1","37.3","0","83.81","34.7"
"NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","HMDB00033","S0154","b'L-Carnosine'","226.1066","225.0988","149.7162468","[M-H]","0","0","-2.96","-4.5","-1.31","3.37","9.13","5","4","121.1","6","55.56","22.37"
"[H][C@@]12C[C@H](O)CCC1(C)C1C[C@H](O)C3(C)C(CCC3C1[C@H](O)C2)C(C)CCC(=O)NCCS(O)(=O)=O","HMDB00036","S0243","b'Taurocholate'","515.2917","514.2839","205.8239245","[M-H]","0","-1","0.79","-0.53","-3.83","-1.1","0.28","7","5","144.16","7","132.19","56.72"
"C[C@]12CCC(=O)C=C1CCC1C3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)C21)C=O","HMDB00037","S0360","b'Aldosterone'","360.1937","359.1859","181.0890377","[M-H]","0","0","1.54","1.06","-3.39","13.82","-2.9","5","2","91.67","3","96.79","38.76"
"OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O","HMDB00048","S0303","b'D-(+)-Melibiose'","342.1162","341.1084","172.363765","[M-H]","0","0","-3","-4.7","0.17","11.25","-3","11","8","189.53","4","68.34","30.97"
"N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O","HMDB00052","L0109","b'Argininosuccinic acid'","290.1226","311.0968","159.5719379","[M+Na-2H]","0","-1","-3.25","-5.8","-2.8","2.14","12.39","10","7","185.83","9","75.31","27.6"
