Chain	Z	rmsd	lali	nres	%id
3vte-A	71.1	0	502	502	100
5d79-A	56.8	1.7	490	498	48
5d79-B	56.7	1.6	482	490	48
3fwa-A	56.1	1.4	485	497	41
3fw8-A	55.9	1.4	483	495	41
4pzf-D	55.4	1.5	485	497	41
4dns-B	55.2	1.4	480	485	47
4dns-A	54.5	1.5	481	486	47
4ud8-B	54.1	1.4	485	497	45
4pwc-A	54	1.7	484	490	45
3gsy-A	53.8	1.5	484	495	41
3fw9-A	53.7	1.5	484	495	41
3d2h-A	53.6	1.5	486	498	41
4pzf-C	53.6	1.5	484	496	41
3d2j-A	53.5	1.6	490	502	41
3fw7-A	53.5	1.5	487	498	41
4pzf-B	53.4	1.5	485	498	41
4pzf-A	53.4	1.5	484	498	41
4ud8-A	53.2	1.5	488	500	45
4pve-A	53	1.6	484	490	45
4pwb-A	53	1.7	484	490	45
4pvk-A	53	1.6	484	490	45
3tsh-A	52.9	1.7	484	490	45
4pvh-A	52.9	1.6	484	490	45
4pvj-A	52.9	1.7	484	490	45
3tsj-A	52.9	1.7	483	489	45
3tsj-B	52.8	1.7	483	489	45
4ec3-A	52.7	1.6	487	500	41
3d2d-A	52.6	1.6	486	500	41
5k8e-A	41.7	2.3	453	473	23
5l6f-A	41.7	2.3	453	473	23
5l6g-A	41.5	2.3	453	473	23
3rj8-A	41	2.4	455	473	23
3rja-A	41	2.4	455	473	23
4xlo-A	40.7	2.3	439	458	25
3w8x-B	40.6	2.4	440	461	25
3w8w-B	40.5	2.4	440	461	25
3w8x-A	40.5	2.4	440	461	25
4xlo-D	40.5	2.4	440	461	25
4xlo-C	40.5	2.4	440	461	25
3w8z-B	40.5	2.4	440	461	25
4xlo-B	40.5	2.4	440	461	25
3w8w-A	40.5	2.4	439	460	25
3hsu-A	40.4	2.5	451	475	21
3w8z-A	40.4	2.4	439	460	25
2axr-A	40.3	2.3	449	479	21
1zr6-A	40.2	2.4	450	479	21
3e0t-A	40.2	2.3	447	475	21
2y3s-B	39.7	2.5	440	493	27
5i1w-D	39.6	2.4	439	498	26
3pqb-A	39.6	2.1	430	492	23
2y3r-D	39.6	2.5	438	491	27
2y3r-B	39.6	2.5	435	487	27
3pop-A	39.5	2.4	434	493	23
5i1w-C	39.5	2.4	440	498	26
5i1v-C	39.5	2.4	438	497	26
5i1v-D	39.4	2.4	439	498	26
5i1w-B	39.4	2.4	439	498	26
5i1w-A	39.4	2.4	439	498	26
2y3s-A	39.4	2.5	440	497	27
3pop-D	39.4	2.5	437	493	24
